Scramble Length,Solution Moves,Solution Time (s)
10,14,0.000025503
11,19,0.000132336
12,9,0.00001315
13,21,0.000520249
14,20,0.001009608
15,19,0.00030689
16,21,0.001851762
17,20,0.010161804
18,20,0.001753226
19,19,0.000989515
20,21,0.000545398
1,1,0.000002753
2,2,0.00000535
3,3,0.000044171
4,3,0.000025182
5,5,0.000036791
6,6,0.001387635
7,7,0.000545241
8,8,0.000083221
9,14,0.003053394
10,14,0.000093979
11,20,0.001603874
12,19,0.001814509
13,11,0.000858109
14,20,0.009739301
15,19,0.00060054
16,21,0.005772608
17,20,0.000217908
18,20,0.000257133
19,20,0.000171447
20,21,0.000630205
1,1,0.000002198
2,2,0.000002031
3,3,0.000010153
4,4,0.000050015
5,5,0.000076384
6,6,0.000117249
7,13,0.001365978
8,9,0.000162204
9,12,0.000659965
10,15,0.000030129
11,18,0.000180251
12,17,0.000021835
13,19,0.000024999
14,21,0.004481817
15,18,0.000134193
16,20,0.000123755
17,21,0.002895708
18,21,0.001207238
19,20,0.000927811
20,21,0.00566426
1,1,0.00000288
2,2,0.000003323
3,3,0.00003194
4,4,0.000081155
5,13,0.000159995
6,13,0.000382439
7,10,0.000190996
8,5,0.000260526
9,9,0.00003005
10,14,0.000042902
11,10,0.000007948
12,20,0.000235858
13,20,0.00040943
14,20,0.000062954
15,20,0.002327645
16,17,0.000029996
17,20,0.001496367
18,20,0.000054631
19,22,0.009697777
20,20,0.000418511
1,1,0.000004462
2,2,0.000005529
3,3,0.000013984
4,4,0.000015989
5,5,0.002152838
6,6,0.00200782
7,10,0.001340002
8,15,0.000171664
9,9,0.004382858
10,17,0.000124837
11,19,0.000213584
12,14,0.002769084
13,15,0.000081465
14,14,0.000146342
15,19,0.001520384
16,21,0.01367558
17,20,0.00002527
18,20,0.000845604
19,21,0.00053392
20,18,0.000019474
1,1,0.000002992
2,2,0.000002639
3,3,0.000060088
4,4,0.000012531
5,5,0.001468159
6,5,0.000076209
7,14,0.000253427
8,16,0.000081849
9,8,0.000007149
10,13,0.000061985
11,18,0.000022334
12,12,0.000090971
13,21,0.002218229
14,20,0.000164993
15,19,0.000095173
16,20,0.000306519
17,20,0.000297835
18,21,0.004329293
19,20,0.000751256
20,21,0.000440871
1,1,0.000003487
2,2,0.000003979
3,3,0.000017797
4,4,0.000020203
5,5,0.000370491
6,3,0.00005338
7,14,0.000140163
8,12,0.000161199
9,15,0.000027907
10,14,0.004143292
11,20,0.000274921
12,20,0.00073382
13,21,0.001029407
14,19,0.000805934
15,20,0.007689709
16,20,0.002433856
17,20,0.000532754
18,21,0.003322451
19,21,0.00059669
20,20,0.001371456
1,1,0.000002425
2,2,0.000009884
3,3,0.000021993
4,4,0.000011921
5,5,0.000051009
6,6,0.00001538
7,7,0.000038157
8,17,0.00015877
9,16,0.000223791
10,15,0.000053445
11,14,0.000081942
12,16,0.000080353
13,20,0.000267309
14,19,0.000127351
15,19,0.001194814
16,19,0.000043002
17,19,0.000120618
18,21,0.00067724
19,21,0.000431538
20,20,0.001106983
1,1,0.000001466
2,2,0.00000343
3,3,0.000014015
4,4,0.000041795
5,5,0.000076739
6,6,0.000049035
7,6,0.000024888
8,15,0.000134146
9,16,0.000153899
10,19,0.000270954
11,17,0.000032375
12,12,0.000013783
13,18,0.000182964
14,21,0.014711568
15,14,0.000015638
16,20,0.000058185
17,20,0.001644149
18,21,0.001534058
19,19,0.001543314
20,20,0.00070934
1,1,0.000001997
2,2,0.000006043
3,3,0.000007831
4,4,0.000072626
5,5,0.000574831
6,6,0.000105586
7,7,0.000287031
8,14,0.000096237
9,16,0.000341095
10,20,0.000186577
11,20,0.000116299
12,18,0.000877464
13,21,0.000870766
14,13,0.000521779
15,20,0.001070521
16,20,0.000083497
17,19,0.000707957
18,20,0.000131525
19,19,0.000248619
20,19,0.00002516
1,1,0.000001959
2,2,0.00000493
3,3,0.0000084
4,4,0.000030209
5,5,0.000935009
6,13,0.000520436
7,6,0.002167586
8,10,0.000136414
9,16,0.000301842
10,18,0.000071945
11,17,0.00009138
12,19,0.000146057
13,20,0.006540367
14,18,0.000196405
15,20,0.0002116
16,19,0.00020069
17,21,0.002434528
18,19,0.000370889
19,21,0.001323391
20,19,0.002581227
1,1,0.000001991
2,2,0.00000149
3,3,0.000008816
4,4,0.000004591
5,5,0.000373882
6,15,0.000232944
7,7,0.000930371
8,8,0.000010706
9,9,0.000404898
10,16,0.00007487
11,19,0.000091032
