Length,Time (ms)
21,0.001263096
21,0.000939659
21,0.006197054
20,0.001512458
20,0.002576159
19,0.000964736
21,0.014728027
20,0.000906187
21,0.002083707
20,0.009738947
20,0.001378297
20,0.001371419
21,0.000816789
20,0.000039209
21,0.001444051
21,0.011257019
20,0.000378316
20,0.000311555
20,0.000598308
20,0.000038489
21,0.000813343
20,0.000070137
20,0.000884128
20,0.000381085
20,0.000075185
20,0.000153585
21,0.001403528
21,0.00087354
21,0.000746716
20,0.000530258
21,0.008820093
20,0.000498824
21,0.015209761
20,0.000624615
20,0.002053436
21,0.000961401
20,0.004992798
21,0.00148405
20,0.000170878
20,0.000177124
21,0.016920328
20,0.000701786
21,0.002338884
21,0.000533839
21,0.000605558
20,0.001392353
19,0.010199045
21,0.00075857
21,0.001107286
21,0.018763565
21,0.001615264
20,0.000228532
21,0.015266963
19,0.000159697
20,0.005604021
21,0.000820204
20,0.002162607
19,0.00723911
21,0.001403526
20,0.000566414
21,0.002041735
20,0.001203174
20,0.005137053
21,0.001871651
21,0.001246789
21,0.002465894
20,0.000106904
20,0.001370804
19,0.000085881
20,0.000153585
18,0.004401704
19,0.002510876
21,0.016074429
20,0.00106571
19,0.000135512
20,0.000206915
20,0.004898623
21,0.001049175
20,0.007232942
21,0.00058525
20,0.000192535
22,0.007304619
21,0.003647494
21,0.009057609
20,0.002983197
20,0.000369796
20,0.000084223
20,0.000697746
21,0.000838072
21,0.002753833
20,0.0008364
19,0.000531533
20,0.000885018
21,0.001159077
21,0.000894911
20,0.001000461
21,0.000801164
20,0.003578209
21,0.008741738
20,0.000576412
21,0.002444766
19,0.0000514
20,0.000752469
21,0.000855139
21,0.001392232
20,0.00590262
21,0.001033409
21,0.000700331
21,0.000477522
21,0.001212873
19,0.000871321
20,0.000168856
20,0.000739728
20,0.001291335
21,0.000772336
21,0.001475875
20,0.000951868
21,0.00092149
21,0.002082223
21,0.012570338
20,0.000056557
19,0.000890448
21,0.001630523
21,0.00211749
21,0.000777985
21,0.008713817
21,0.012725703
21,0.001110797
20,0.000134472
20,0.001290578
20,0.000652963
20,0.001489075
20,0.000061241
20,0.00028781
20,0.001761447
21,0.000958043
20,0.001176968
20,0.001762001
20,0.000070947
20,0.005673799
21,0.000959354
21,0.010889694
21,0.002044394
20,0.000219878
21,0.006994614
21,0.002706417
20,0.001119942
21,0.000890875
20,0.002197935
22,0.011028707
20,0.003210481
21,0.002804709
20,0.000606191
20,0.002309718
21,0.00213825
20,0.00009424
21,0.001914632
21,0.000550644
21,0.001710736
20,0.000236971
21,0.001939663
20,0.00003881
21,0.009592484
21,0.001361784
20,0.000342323
19,0.000124636
20,0.004115875
21,0.000988098
21,0.012728837
20,0.001207096
18,0.000108664
21,0.015337949
19,0.000040964
21,0.000557491
21,0.00089947
20,0.001230799
20,0.000287734
20,0.002513661
21,0.00095508
20,0.00049738
21,0.000970896
19,0.0045808
19,0.006215015
21,0.006099823
20,0.000600531
20,0.002599112
21,0.00107285
20,0.000076699
21,0.00098461
20,0.000127432
21,0.001707674
21,0.001898464
21,0.001482188
20,0.000640228
20,0.000735157
21,0.009136265
19,0.000132988
20,0.000730612
20,0.001872285
18,0.000182584
20,0.010290325
20,0.003941657
21,0.001157312
20,0.000407506
21,0.001543724
20,0.000431764
20,0.000036446
21,0.004673489
17,0.011820806
21,0.001865201
21,0.010266064
21,0.000518391
20,0.004407932
20,0.011216772
19,0.000042642
20,0.000440784
20,0.000245302
21,0.001087261
20,0.000029285
20,0.000060906
20,0.000066978
21,0.001627481
18,0.002463929
21,0.002329152
21,0.002335774
21,0.001449035
21,0.001433786
20,0.000196119
20,0.000220653
20,0.000114872
20,0.005085617
20,0.001442961
21,0.00228423
21,0.001073497
19,0.000223608
21,0.00236557
20,0.000528144
21,0.00122494
20,0.000400785
20,0.000847555
21,0.001765897
20,0.003515326
19,0.000039989
19,0.000391359
20,0.000594596
20,0.004346317
20,0.000935038
20,0.000331066
20,0.000649956
19,0.001154618
21,0.002001468
21,0.004278823
21,0.011642867
