IDA* Moves,IDA* Time (s)
8,0.005369771
9,0.061956898
10,0.125898391
11,7.927183646
12,74.532978308
1,0.000001324
2,0.000002075
3,0.000002214
4,0.000001878
5,0.000026306
6,0.000095299
7,0.000117636
8,0.002770648
9,0.013663617
10,0.054968473
11,0.35456208
12,27.336930644
1,0.000001391
2,0.000002113
3,0.000007812
4,0.000001605
5,0.000044821
6,0.000095737
7,0.000115568
8,0.000889909
9,0.028185472
10,0.565690108
11,4.517871882
12,48.652536122
1,0.000000559
2,0.000001526
3,0.00000287
4,0.000005853
5,0.000005093
6,0.000070842
7,0.001170368
8,0.001916049
9,0.004446625
10,0.282476826
11,1.40528221
12,113.911961087
1,0.00000073
2,0.000001233
3,0.000002115
4,0.0000031
5,0.000042588
6,0.000013564
7,0.001220749
8,0.003362037
9,0.047334
10,0.300652549
11,2.188837471
12,94.020951688
1,0.000001698
2,0.00000126
3,0.000001899
4,0.000003307
5,0.00000568
6,0.00009518
7,0.000086503
8,0.022302537
9,0.057737599
10,0.440909493
11,0.769682612
12,87.558817487
1,0.000002186
2,0.00000145
3,0.000003139
4,0.000002868
5,0.000021106
6,0.000376991
7,0.001407199
8,0.002580765
9,0.039400418
10,1.354694246
11,10.754613697
12,20.013755938
1,0.000001592
2,0.000002096
3,0.000002294
4,0.000001862
5,0.000063953
6,0.000012308
7,0.001518661
8,0.000646183
9,0.014237112
10,0.670173622
11,2.127020346
12,60.983304548
1,0.000001848
2,0.000000601
3,0.000003476
4,0.000002726
5,0.000003104
6,0.000022537
7,0.000226818
8,0.007073724
9,0.008420915
10,0.067199639
11,1.082084715
12,247.679180042
1,0.000000851
2,0.000001912
3,0.000001911
4,0.000007606
5,0.000017904
6,0.00004095
7,0.000081684
8,0.002360367
9,0.054722248
10,0.294257714
11,2.201288713
12,29.363370628
1,0.000001003
2,0.000001237
3,0.000002579
4,0.000002982
5,0.000017357
6,0.000228693
7,0.000359444
8,0.003476326
9,0.009653141
10,1.003210339
11,1.665915797
12,10.984752115
1,0.000000922
2,0.000001703
3,0.000009372
4,0.000003129
5,0.000016156
6,0.000218255
7,0.000077674
8,0.001723725
9,0.013817706
10,0.146224963
11,1.934272799
12,26.162199324
1,0.000001791
2,0.000001127
3,0.000003041
4,0.000002344
5,0.000005316
6,0.000251109
7,0.00070742
8,0.000308801
9,0.081522936
10,0.213311997
11,3.155061374
12,42.828722827
1,0.000001998
2,0.000002055
3,0.000001259
4,0.000003684
5,0.000006246
6,0.000023855
7,0.00077063
8,0.002842875
9,0.028706388
10,1.69872282
11,7.350361724
12,52.240550952
1,0.000001432
2,0.000000704
3,0.00000222
4,0.000002804
5,0.000009078
6,0.000005187
7,0.000166743
8,0.005671113
9,0.035760975
10,0.096158249
11,2.222662988
12,10.732383053
1,0.000000542
2,0.000001474
3,0.000002296
4,0.000020131
5,0.000027264
6,0.000324951
7,0.000507469
8,0.00587167
9,0.028165035
10,0.283646557
11,9.81904194
12,31.529551135
1,0.000001892
2,0.000001637
3,0.00000154
4,0.000006538
5,0.00009024
6,0.000111646
7,0.000765713
8,0.003425609
9,0.009859701
10,0.561132758
11,2.752074346
12,57.389739281
1,0.00000156
2,0.000001691
3,0.000001843
4,0.000001493
5,0.000014066
6,0.000194997
7,0.00052807
8,0.00364243
9,0.01506771
10,0.105752533
11,10.216713535
12,10.683294514
1,0.00000065
2,0.000002076
3,0.0000025
4,0.000002576
5,0.000019723
6,0.000262115
7,0.001683217
8,0.004812282
9,0.143005076
10,0.303807821
11,2.412114314
12,47.205440986
1,0.000000471
2,0.000001907
3,0.000001927
4,0.000016205
5,0.000008449
6,0.000300844
7,0.001684911
8,0.000966151
9,0.150265669
10,0.336228354
11,1.59715995
12,15.034934742
1,0.000001982
2,0.000000672
3,0.000001808
4,0.000009246
5,0.000016804
6,0.000101014
7,0.000223759
8,0.004362921
9,0.040815326
10,0.270153755
11,0.600393826
12,63.93066017
1,0.000001331
2,0.000001421
3,0.000001553
4,0.000002054
5,0.000004981
6,0.000006312
7,0.00113678
8,0.001580482
9,0.016228587
10,0.168291457
11,2.527070195
12,45.516550717
1,0.000001575
2,0.000001789
3,0.000002808
4,0.000019555
5,0.000002953
6,0.000034876
7,0.000933968
8,0.009217902
9,0.262322518
10,0.413508437
11,7.364145941
12,33.568915807
1,0.000000547
2,0.000002127
3,0.000001699
4,0.00000301
5,0.000035972
6,0.000068599
7,0.000316324
8,0.003543629
9,0.153915883
10,0.041693494
11,5.4644411569999995
12,62.036609784
1,0.000001916
2,0.000002021
3,0.000002884
4,0.00000133
5,0.000002607
6,0.000007206
7,0.000102123
8,0.003045631
9,0.026428675
10,0.966953558
11,10.207938112
12,94.902407631
1,0.000001457
2,0.000002291
3,0.000004069
4,0.000003207
5,0.000042316
6,0.00001609
7,0.000546012
8,0.005451736
9,0.006910966
10,0.297995183
11,3.841966235
12,24.798262087
1,0.000001779
2,0.000002293
3,0.000001647
4,0.000005657
5,0.000066209
6,0.000092451
7,0.001355419
8,0.004988843
9,0.018229466
10,1.19842089
11,6.257822453
12,21.827619074
1,0.000000545
2,0.000001374
3,0.000004677
4,0.000023406
5,0.000004498
6,0.000126903
7,0.000100969
8,0.002497799
9,0.087134177
10,0.205793067
11,6.20695666
12,41.306983595
1,0.000000842
