Scramble Length,Solution Moves,Solution Time (s)
13,21,0.001570303
14,17,0.004500091
15,19,0.000047059
16,20,0.001332144
17,20,0.002040333
18,20,0.0001159
19,20,0.000100698
20,20,0.000264471
21,21,0.008696362
22,21,0.000931676
23,20,0.000056424
24,21,0.001069222
25,20,0.001089955
26,20,0.000588811
27,20,0.000045585
28,21,0.004319991
29,21,0.00054554
30,20,0.000696634
1,1,0.000003967
2,7,0.000026682
3,3,0.000003566
4,9,0.000048569
5,5,0.000007403
6,13,0.000070474
7,10,0.000007567
8,15,0.00000862
9,16,0.000062355
10,10,0.000010154
11,16,0.00002351
12,20,0.000113554
13,20,0.000021751
14,20,0.000695399
15,20,0.012447566
16,20,0.00032195
17,20,0.000892207
18,20,0.000115014
19,20,0.000499144
20,20,0.001061725
21,21,0.002581704
22,20,0.00006259
23,19,0.000023433
24,20,0.000060497
25,21,0.001143808
26,20,0.000132825
27,20,0.012132643
28,20,0.000043625
29,18,0.001420638
30,20,0.006836749
1,1,0.000004119
2,8,0.000054339
3,3,0.00000329
4,11,0.000078429
5,11,0.000006366
6,13,0.000043023
7,11,0.00001005
8,15,0.000038216
9,16,0.000098973
10,16,0.000034672
11,9,0.000005773
12,20,0.00083474
13,18,0.000917419
14,20,0.000235442
15,20,0.000259729
16,20,0.00161513
17,21,0.001267489
18,21,0.000929661
19,20,0.000142527
20,21,0.001486026
21,20,0.002693922
22,22,0.004691464
23,20,0.000085646
24,21,0.017218737
25,21,0.000681915
26,20,0.000132526
27,20,0.000287882
28,19,0.000120163
29,21,0.001726115
30,20,0.00009538
1,1,0.00000223
2,2,0.000002156
3,10,0.000082104
4,2,0.000003191
5,5,0.000008118
6,6,0.000004662
7,16,0.000018412
8,7,0.000005177
9,12,0.000010317
10,19,0.000066087
11,18,0.000011521
12,20,0.001435908
13,20,0.00007841
14,20,0.000185128
15,21,0.006532943
16,19,0.000033532
17,20,0.000059886
18,21,0.001065115
19,20,0.001381683
20,21,0.001700358
21,20,0.000157333
22,20,0.000068389
23,21,0.00386131
24,20,0.001708508
25,18,0.000031142
26,20,0.003956387
27,21,0.00638559
28,19,0.000114655
29,21,0.001326064
30,21,0.001247928
1,1,0.000003453
2,2,0.000002546
3,3,0.000003382
4,10,0.000053488
5,4,0.000003734
6,11,0.000006565
7,15,0.000018715
8,8,0.000006025
9,17,0.00002597
10,19,0.000047116
11,20,0.0001354
12,20,0.001572886
13,20,0.000117496
14,19,0.008163841
15,20,0.00039257
16,20,0.000065971
17,20,0.000067795
18,19,0.000164296
19,20,0.00042653
20,21,0.001115101
21,21,0.000992824
22,21,0.001315657
23,21,0.001342858
24,21,0.001028358
25,21,0.008978862
26,21,0.002390548
27,20,0.010787898
28,20,0.000142258
29,21,0.000329407
30,21,0.001154226
1,8,0.000084852
2,2,0.000003023
3,8,0.000036606
4,4,0.000003351
5,12,0.000038735
6,6,0.000003998
7,7,0.000006065
8,8,0.000006287
9,19,0.000024031
10,17,0.000024837
11,11,0.000971283
12,19,0.000595441
13,15,0.000025949
14,21,0.008904895
15,20,0.000545819
16,20,0.001046349
17,21,0.023864913
18,21,0.002258075
19,21,0.001604744
20,20,0.006131804
21,20,0.000179177
22,21,0.000518934
23,19,0.000301467
24,20,0.0003192
25,20,0.000332973
26,21,0.001352509
27,18,0.000017831
28,20,0.001266431
29,21,0.000983052
30,20,0.000089491
1,1,0.000003303
2,2,0.000002602
3,8,0.000025745
4,4,0.000003965
5,12,0.000075307
6,12,0.000006359
7,7,0.000004942
8,15,0.000059906
9,16,0.000028965
10,16,0.000011832
11,13,0.000033758
12,18,0.000077856
13,12,0.000011104
14,18,0.000264968
15,20,0.000106311
16,20,0.000112636
17,20,0.00026736
18,20,0.00017538
19,21,0.001502428
20,20,0.000028016
21,20,0.00112027
22,19,0.0003371
23,20,0.000767823
24,20,0.000356346
25,20,0.000484793
26,21,0.000445289
27,20,0.008663103
28,20,0.000072343
29,21,0.001585978
30,21,0.001493839
1,1,0.000002843
2,2,0.000002759
3,10,0.000082809
4,9,0.000005207
5,7,0.00000575
6,6,0.000004776
7,14,0.000062607
8,8,0.000032429
9,9,0.000009955
10,16,0.000013662
11,20,0.000369185
12,20,0.00016842
13,19,0.000026059
14,20,0.00031823
15,21,0.00083448
16,21,0.002343549
17,20,0.001000994
18,20,0.001339588
19,19,0.000324227
20,19,0.000501373
21,20,0.007868065
22,18,0.000506574
23,20,0.000108158
24,20,0.000477124
25,20,0.000823885
26,20,0.000482479
27,20,0.000604667
28,21,0.00078646
29,21,0.002440812
30,20,0.000106442
1,1,0.000002772
2,9,0.00007746
3,3,0.000003257
4,14,0.000054911
5,5,0.000003445
6,16,0.000010814
7,16,0.000059377
8,15,0.000118463
9,14,0.000012083
10,20,0.000092696
11,20,0.000135817
12,13,0.000008746
13,20,0.000490882
14,21,0.000646818
15,15,0.00002156
16,20,0.002365003
17,21,0.000426565
18,21,0.002426857
19,21,0.004865086
20,20,0.001646559
21,20,0.001398451
22,19,0.000470931
23,20,0.000076767
24,19,0.000133433
25,20,0.000940617
26,21,0.00050291
27,20,0.002720755
28,20,0.005305628
29,21,0.001152567
30,20,0.000374016
1,1,0.00000268
2,9,0.000063532
3,7,0.000004605
4,9,0.000018197
5,12,0.00007598
6,6,0.000003775
7,10,0.000007333
8,16,0.000021138
9,16,0.000069174
10,9,0.000004694
11,19,0.000028342
12,19,0.000939395
13,21,0.000634524
14,20,0.000594566
15,14,0.000038466
16,20,0.000082739
17,13,0.000014857
18,20,0.000430283
19,21,0.001134063
20,20,0.000111506
21,18,0.000040173
22,21,0.001275246
23,21,0.012394911
24,21,0.000695217
25,21,0.000357258
26,21,0.003478803
27,20,0.000295758
28,21,0.013840602
29,21,0.000556228
30,19,0.00002654
1,1,0.000002012
2,2,0.000002398
3,10,0.000073807
4,4,0.000003316
5,10,0.000005689
6,6,0.000004307
7,11,0.00001046
8,10,0.000007021
9,9,0.000086385
10,16,0.000053389
11,12,0.000010815
12,17,0.000025879
13,21,0.005026627
14,19,0.00002678
15,21,0.001266803
16,20,0.000152025
17,19,0.000207642
18,20,0.000115559
19,20,0.000042399
20,21,0.000637285
21,21,0.001287429
22,21,0.001080822
23,20,0.000264795
24,20,0.000246041
25,20,0.00010674
26,21,0.012787493
27,20,0.000410559
28,21,0.00071126
29,20,0.000561846
30,20,0.0000378
1,8,0.000076988
2,7,0.000015581
3,3,0.000003084
4,0,0.00000198
5,11,0.000006975
6,12,0.000053348
7,10,0.000057065
8,16,0.000009215
9,8,0.000007556
10,9,0.000007841
11,15,0.000022697
12,12,0.000008592
13,17,0.000066574
14,20,0.002307357
15,20,0.000027905
16,15,0.000019946
17,20,0.000880267
18,20,0.003654737
19,20,0.000097603
20,21,0.007146126
21,22,0.009306275
22,21,0.000425131
23,20,0.000131605
24,20,0.000295579
25,19,0.001917788
26,20,0.000724205
27,20,0.00006964
28,20,0.000029827
29,21,0.000632457
30,21,0.000696562
1,8,0.000086382
2,2,0.00000248
3,10,0.00002431
4,4,0.000003731
5,5,0.0000034
6,6,0.000004474
7,7,0.000005372
8,12,0.000010583
9,19,0.000059201
10,20,0.000072803
11,18,0.000013792
12,21,0.002091257
13,19,0.000026341
14,20,0.008131888
15,16,0.000274396
16,20,0.000269974
17,19,0.000281341
18,20,0.000145428
19,21,0.002454352
20,21,0.001438161
21,19,0.000038214
22,20,0.005382352
23,20,0.011335941
24,19,0.000816002
25,21,0.001611126
26,20,0.000132498
27,20,0.000681136
28,21,0.000706289
29,20,0.000204157
30,19,0.000295585
1,1,0.000002775
2,2,0.000002488
3,3,0.000002313
4,9,0.000012634
5,10,0.000020102
6,9,0.000008654
7,7,0.000005352
8,13,0.000008361
9,9,0.000238135
10,14,0.000008325
11,18,0.000016528
12,19,0.000029987
13,20,0.000105013
14,17,0.00016682
15,19,0.000022962
16,14,0.000028793
17,20,0.004140831
18,20,0.000179635
19,20,0.000073694
20,20,0.00087513
21,20,0.002080522
22,20,0.001641025
23,21,0.011777327
24,19,0.000067959
25,19,0.000579836
26,21,0.008261506
27,20,0.000934613
28,22,0.012766715
29,20,0.001303807
30,20,0.000040166
1,1,0.000002733
2,2,0.000002319
3,3,0.000003084
4,4,0.000003576
5,5,0.000003697
6,13,0.00009005
7,13,0.000044163
8,13,0.000017639
9,19,0.000053622
10,17,0.000012036
11,19,0.000039674
12,17,0.001346023
13,20,0.000067428
14,20,0.000765596
15,20,0.000048812
16,20,0.00012375
17,21,0.001219988
18,20,0.001729145
19,21,0.002400222
