Scramble Length,Solution Moves,Solution Time (s)
14,20,0.000052182
15,20,0.000387811
16,16,0.000110413
17,20,0.000528387
18,20,0.000060376
19,20,0.000639916
20,20,0.000155706
1,1,0.000002166
2,2,0.000002087
3,2,0.000002384
4,4,0.000004576
5,5,0.000004225
6,12,0.000063575
7,7,0.000006395
8,11,0.000016128
9,13,0.000042659
10,19,0.000056868
11,17,0.000034644
12,16,0.000010408
13,16,0.000012481
14,19,0.000061789
15,21,0.003106396
16,20,0.00023581
17,19,0.000035959
18,17,0.000029714
19,19,0.000023978
20,21,0.00128878
1,1,0.000002417
2,2,0.000002654
3,3,0.000003408
4,7,0.000006253
5,5,0.000003655
6,12,0.000049995
7,12,0.000017022
8,14,0.000009568
9,9,0.000044369
10,14,0.000053947
11,12,0.00000907
12,18,0.000452124
13,20,0.002125843
14,14,0.000063284
15,20,0.000021644
16,20,0.003113922
17,20,0.00011589
18,21,0.000691279
19,20,0.000058687
20,20,0.000287102
1,1,0.000002289
2,2,0.000002491
3,3,0.00000331
4,9,0.000012292
5,5,0.000003827
6,12,0.00005198
7,15,0.000037606
8,5,0.000003934
9,17,0.000079959
10,10,0.00000936
11,16,0.000013428
12,20,0.000033145
13,20,0.002585444
14,20,0.000040927
15,18,0.000362934
16,21,0.002756367
17,21,0.000203033
18,20,0.001370986
19,19,0.000826521
20,19,0.000056913
1,8,0.000068631
2,2,0.000002583
3,3,0.000002276
4,4,0.000003702
5,8,0.000008362
6,15,0.000041506
7,17,0.000010692
8,10,0.000012309
9,14,0.000014631
10,18,0.00012792
11,11,0.000010003
12,20,0.000398937
13,21,0.000999148
14,20,0.000219744
15,20,0.001399969
16,21,0.002517521
17,14,0.000042907
18,21,0.000590298
19,22,0.006860493
20,20,0.001109592
1,1,0.000003198
2,8,0.00005237
3,3,0.000003022
4,9,0.000021689
5,10,0.00003652
6,14,0.000021438
7,10,0.000005636
8,13,0.000064883
9,18,0.000053745
10,17,0.000019937
11,14,0.000009383
12,20,0.00014729
13,18,0.000039629
14,17,0.000030238
15,19,0.000033967
16,20,0.000063021
17,21,0.000883753
18,21,0.010966857
19,20,0.001094837
20,20,0.002198637
1,1,0.000003181
2,2,0.000002618
3,10,0.00007758
4,11,0.000025068
5,5,0.000005129
6,9,0.000008406
7,15,0.000062225
8,17,0.000012113
9,11,0.000049791
10,17,0.000014306
11,17,0.000040519
12,8,0.000006741
13,19,0.000290792
14,19,0.000039931
15,21,0.001124234
16,20,0.001083431
