BFS Moves,BFS Time (s)
4,0.000385829
5,0.021037215
6,0.445145222
7,2.51016289
8,90.439033687
1,0.000002288
2,0.000015943
3,0.000050094
4,0.002345335
5,0.02602548
6,0.477570426
7,4.435060254
8,37.961014243
1,0.000002044
2,0.000013627
3,0.00010829
4,0.000620688
5,0.005787686
6,0.166703716
7,2.192923624
8,18.875354375
1,0.000002911
2,0.000015139
3,0.000026646
4,0.000498665
5,0.006054886
6,0.287696744
7,3.869352249
8,94.210741933
1,0.000002189
2,0.000015358
3,0.000051664
4,0.00038876
5,0.035737917
6,0.333365444
7,1.731145191
8,48.254043975
1,0.000002849
2,0.00001191
3,0.000137308
4,0.002453171
5,0.005444832
6,0.05607585
7,6.820063322
8,29.481304805
1,0.000002504
2,0.000019049
3,0.000199393
4,0.00204982
5,0.025911369
6,0.188278634
7,3.205053114
8,22.205337518
1,0.000002728
2,0.000005583
3,0.000108031
4,0.001473486
5,0.034733204
6,0.467220061
7,1.446314614
8,15.185175759
1,0.000002543
2,0.000007048
3,0.000090474
4,0.0018638
5,0.024318824
6,0.359185254
7,0.735726122
8,22.257010296
1,0.000002317
2,0.000013757
3,0.000207452
4,0.000854293
5,0.033300846
6,0.341978491
7,7.137022
8,33.94925681
1,0.000002905
2,0.000018974
3,0.000232718
4,0.001917186
5,0.00920936
6,0.162211832
7,7.012333702
8,74.130483885
1,0.000002728
2,0.00001004
3,0.000083347
4,0.002507747
5,0.006450198
6,0.265865637
7,3.586845166
8,53.218203567
1,0.000002231
2,0.000016598
3,0.000150946
4,0.001940747
5,0.032452866
6,0.339050519
7,5.937046167
8,31.058588248
1,0.000002428
2,0.000012263
3,0.000159341
4,0.000712538
5,0.025341092
6,0.051385133
7,4.811453978
8,94.032704448
1,0.000002774
2,0.000018135
3,0.000027904
4,0.001302599
5,0.045204062
6,0.128156585
7,3.38366526
8,13.318250492
1,0.000002189
2,0.000007233
3,0.000214623
4,0.001417046
5,0.005213799
6,0.537719117
7,5.043469415
8,67.60014207
1,0.000001827
2,0.000014119
3,0.000211701
4,0.001368075
5,0.023953358
6,0.329747275
7,4.392446769
8,23.932120846
1,0.000003023
2,0.000016606
3,0.000116688
4,0.002741599
5,0.019074768
6,0.288537722
7,7.2997163480000005
8,17.007090654
1,0.000002898
2,0.000009051
3,0.000155842
4,0.000955544
5,0.025854915
6,0.043331709
7,1.9596721929999998
8,96.073663814
1,0.000002618
2,0.000012368
3,0.000037833
4,0.002524554
5,0.027207694
6,0.372312705
7,3.5216408120000002
8,84.337056659
1,0.000001535
2,0.000009523
3,0.000226649
4,0.002591366
5,0.003552296
6,0.052086111
7,4.570817257
8,92.058960725
